ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
0b83899d-ac07-4b7d-a802-555fa05e9475,2019-12-08T14:15:43.572Z,2019-12-08T21:43:49.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.516004,9.194498,45,5040292,515191,32T,Width of sidewalk,3,,
38d22e12-d4dd-473c-8676-185147cedc71,2019-12-08T14:14:47.871Z,2019-12-08T21:43:48.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.515579,9.194349,23,5040245,515179,32T,Width of sidewalk,0.85,,
edbd427a-b8b4-4d2b-af56-ebf9d3d40baf,2019-12-08T14:13:47.191Z,2019-12-08T21:43:47.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.516028,9.194309,15,5040295,515176,32T,Width of sidewalk,2.25,,
20d8866b-5143-47a0-aacf-5fb567298df5,2019-12-08T14:12:50.990Z,2019-12-09T11:56:44.000Z,ozturkm.yasin@gmail.com,Width of sidewalk,45.516543,9.194769,4,5040352,515212,32T,Width of sidewalk,2.3,,
81e48e31-f965-4709-ade8-e18891f6838b,2019-12-10T14:59:12.746Z,2019-12-10T15:00:17.000Z,firmino.mucucete@gmail.com,Lighting,45.517212,9.196924,17,5040427,515380,32T,Lighting,7,,81e48e31-f965-4709-ade8-e18891f6838b_1575989948.jpg
21576500-78da-438b-877b-39eb6a652690,2019-12-10T14:56:19.743Z,2019-12-10T15:00:16.000Z,firmino.mucucete@gmail.com,Lighting,45.516948,9.196278,15,5040398,515329,32T,Lighting,4,,
5a73212e-2209-41b9-b514-aebf98693693,2019-12-10T14:53:55.798Z,2019-12-10T15:00:14.000Z,firmino.mucucete@gmail.com,Lighting,45.516862,9.194712,30,5040388,515207,32T,Lighting,4,,
799a61a8-36e3-4c57-bab2-12825fdbbcce,2019-12-10T14:52:32.086Z,2019-12-10T15:00:13.000Z,firmino.mucucete@gmail.com,Lighting,45.516492,9.19474,30,5040347,515209,32T,Lighting,2,,
7f5c2778-cb66-4fce-b584-631083704a92,2019-12-10T14:48:25.268Z,2019-12-10T15:00:11.000Z,firmino.mucucete@gmail.com,Lighting,45.518324,9.193633,12,5040550,515123,32T,Lighting,4,,7f5c2778-cb66-4fce-b584-631083704a92_1575989297.jpg
e14f9508-3a05-4644-bc57-46065a39898e,2019-12-10T14:45:27.942Z,2019-12-10T15:00:09.000Z,firmino.mucucete@gmail.com,Lighting,45.518186,9.191958,14,5040534,514992,32T,Lighting,3,,
3c8943de-4477-4f07-a2e8-2a0c8d12595b,2019-12-10T14:43:57.864Z,2019-12-10T15:00:08.000Z,firmino.mucucete@gmail.com,Lighting,45.517786,9.192079,208,5040490,515001,32T,Lighting,2,,
204da849-5063-4cd7-a672-b5db8787a2f0,2019-12-10T14:42:24.838Z,2019-12-10T15:00:06.000Z,firmino.mucucete@gmail.com,Lighting,45.517733,9.19306,4,5040484,515078,32T,Lighting,5,,
f0d59cf7-98f2-474c-b14c-06bb5768247e,2019-12-10T14:40:03.955Z,2019-12-10T15:00:05.000Z,firmino.mucucete@gmail.com,Lighting,45.517273,9.193176,8,5040433,515087,32T,Lighting,3,,
e184022f-ead5-4679-915d-b176d006c957,2019-12-10T14:37:49.049Z,2019-12-10T15:00:02.000Z,firmino.mucucete@gmail.com,Lighting,45.516873,9.194002,4,5040389,515152,32T,Lighting,3,,
07a2ae1a-442b-4cfe-80e4-016a5ed0912e,2019-12-10T14:36:07.635Z,2019-12-10T15:00:00.000Z,firmino.mucucete@gmail.com,Lighting,45.516024,9.194125,13,5040295,515162,32T,Lighting,2,,07a2ae1a-442b-4cfe-80e4-016a5ed0912e_1575988564.jpg
17315c80-36eb-4051-867b-7ac1de7bb0e2,2019-12-10T14:35:06.262Z,2019-12-10T14:59:59.000Z,firmino.mucucete@gmail.com,Lighting,45.515824,9.194452,4,5040272,515187,32T,Lighting,1,,
332d1096-5c86-4e95-8e1f-cd30a226ed71,2019-12-10T14:29:50.579Z,2019-12-10T14:59:57.000Z,firmino.mucucete@gmail.com,Lighting,45.515477,9.19414,66,5040234,515163,32T,Lighting,4,,332d1096-5c86-4e95-8e1f-cd30a226ed71_1575988186.jpg
94c3a91a-9b71-4e21-bc96-940ac9f6c4f1,2019-12-08T14:44:46.740Z,2019-12-08T14:44:55.000Z,firmino.mucucete@gmail.com,Lighting,45.51707,9.194122,11,5040411,515161,32T,Lighting,1,,
6a678bb0-8f22-489d-b1a6-1479e3dd6fd1,2019-12-08T14:44:21.479Z,2019-12-08T14:44:53.000Z,firmino.mucucete@gmail.com,Number of lanes,45.516602,9.195012,15,5040359,515231,32T,Number of lanes,1,,
0be6c181-af8e-4e6e-8e75-4500a9f50ceb,2019-12-08T14:42:20.102Z,2019-12-08T14:42:38.000Z,firmino.mucucete@gmail.com,Lighting,45.517323,9.194336,116,5040439,515178,32T,Lighting,1,,
3a2b16d4-2a90-4935-bf25-483e8587f743,2019-12-08T14:41:53.690Z,2019-12-08T14:42:37.000Z,firmino.mucucete@gmail.com,Number of lanes,45.517341,9.194949,15,5040441,515226,32T,Number of lanes,1,,
4adf2b8c-7d18-459e-9ae4-b76b4e5513bb,2019-12-08T14:38:51.349Z,2019-12-08T14:39:02.000Z,firmino.mucucete@gmail.com,Lighting,45.516725,9.194015,4,5040372,515153,32T,Lighting,1,,
a440b5a1-b2f7-448a-8803-69b789422625,2019-12-08T14:38:19.676Z,2019-12-08T14:39:00.000Z,firmino.mucucete@gmail.com,Number of lanes,45.517033,9.193775,21,5040407,515134,32T,Number of lanes,1,,
4ac20fcf-6c3e-4053-b4b9-35338b5c2386,2019-12-08T14:35:39.866Z,2019-12-08T14:38:58.000Z,firmino.mucucete@gmail.com,Lighting,45.517065,9.193762,44,5040410,515133,32T,Lighting,1,,4ac20fcf-6c3e-4053-b4b9-35338b5c2386_1575815735.jpg
42b08438-ea37-45c6-885c-56d9fd18e746,2019-12-08T14:34:58.876Z,2019-12-08T14:38:57.000Z,firmino.mucucete@gmail.com,Number of lanes,45.517114,9.193889,8,5040416,515143,32T,Number of lanes,1,,42b08438-ea37-45c6-885c-56d9fd18e746_1575815694.jpg
d61d3a31-e918-4898-8111-5a6af888a115,2019-12-08T14:30:43.849Z,2019-12-08T14:31:34.000Z,firmino.mucucete@gmail.com,Lighting,45.517951,9.193432,108,5040509,515107,32T,Lighting,0,,d61d3a31-e918-4898-8111-5a6af888a115_1575815439.jpg
145e53b2-6f59-47db-adb8-759e41361a1f,2019-12-08T14:30:08.697Z,2019-12-08T14:31:33.000Z,firmino.mucucete@gmail.com,Number of lanes,45.518092,9.193576,27,5040524,515118,32T,Number of lanes,1,,
09492143-f7c1-464e-8697-8624896e610f,2019-12-08T14:28:20.815Z,2019-12-08T14:31:31.000Z,firmino.mucucete@gmail.com,Lighting,45.517755,9.193556,11,5040487,515117,32T,Lighting,1,,
ab248817-2dc1-4d45-bf07-fae0448b9a76,2019-12-08T14:27:55.212Z,2019-12-08T14:31:29.000Z,firmino.mucucete@gmail.com,Number of lanes,45.517689,9.193532,123,5040479,515115,32T,Number of lanes,1,,
44e5c77a-8391-4475-a192-b9ad6c12ee85,2019-12-08T14:27:28.412Z,2019-12-08T14:31:27.000Z,firmino.mucucete@gmail.com,Lighting,45.517622,9.193663,5,5040472,515125,32T,Lighting,1,,
cf6b6151-71a6-46d3-8b19-5661c17a3668,2019-12-08T14:26:52.893Z,2019-12-08T14:31:26.000Z,firmino.mucucete@gmail.com,Number of lanes,45.517387,9.193709,20,5040446,515129,32T,Number of lanes,1,,
1517c035-a5ba-4f0b-bf02-8271f92b2a5a,2019-12-08T14:24:47.860Z,2019-12-08T14:31:24.000Z,firmino.mucucete@gmail.com,Lighting,45.517232,9.193061,10,5040429,515078,32T,Lighting,1,,1517c035-a5ba-4f0b-bf02-8271f92b2a5a_1575815083.jpg
9cac8082-5ad3-4faa-bc00-50af9c979e5d,2019-12-08T14:22:58.415Z,2019-12-08T14:31:23.000Z,firmino.mucucete@gmail.com,Number of lanes,45.517273,9.193017,15,5040433,515075,32T,Number of lanes,1,,9cac8082-5ad3-4faa-bc00-50af9c979e5d_1575814973.jpg
23e38e22-ba0e-443a-84dc-fd5628c17ff6,2019-12-08T14:16:09.108Z,2019-12-08T14:31:22.000Z,firmino.mucucete@gmail.com,Number of lanes,45.51547,9.194598,21,5040233,515199,32T,Number of lanes,1,,23e38e22-ba0e-443a-84dc-fd5628c17ff6_1575814565.jpg
12f8c129-d0a0-4b5e-b903-de249511e9b5,2019-12-08T14:15:22.765Z,2019-12-08T14:31:20.000Z,firmino.mucucete@gmail.com,Number of lanes,45.51578,9.19442,14,5040268,515185,32T,Number of lanes,1,,12f8c129-d0a0-4b5e-b903-de249511e9b5_1575814517.jpg
5ba7524b-322a-4033-9348-d1c39cd2565f,2019-12-08T14:14:29.477Z,2019-12-08T14:31:19.000Z,firmino.mucucete@gmail.com,Number of lanes,45.516093,9.194449,8,5040302,515187,32T,Number of lanes,1,,5ba7524b-322a-4033-9348-d1c39cd2565f_1575814464.jpg
3f793cfe-25f9-4022-8dfe-66cac89a63bc,2019-12-08T14:09:20.030Z,2019-12-08T14:31:17.000Z,firmino.mucucete@gmail.com,Number of lanes,45.516543,9.194769,15,5040352,515212,32T,Number of lanes,1,,
